"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SH.TBL01NL","SH.TBL02NL","SH.TBL04NL","SH.TBL05NL","SH.TBL06NL","SH.TBL07NL","SH.TBL08NL","SH.TBL09NL","SH.TBL10NL","SH.TBL11NL","SH.TBL13NL","SH.TBL14NL","SH.TBL15NL","SH.TBL01C","SH.TBL01I","SH.TBL01E","SH.TBL02I","SH.TBL02E","SH.TBL04C","SH.TBL04I","SH.TBL04E","SH.TBL05I","SH.TBL05E","SH.TBL06C","SH.TBL06E","SH.TBL07I","SH.TBL07E","SH.TBL08I","SH.TBL08E","SH.TBL09I","SH.TBL09E","SH.TBL10I","SH.TBL10E","SH.TBL11C","SH.TBL11I","SH.TBL11E","SH.TBL13I","SH.TBL13E","SH.TBL14C","SH.TBL14I","SH.TBL14E","SH.TBL15C","SH.TBL15I","SH.TBL15E"
"ADRA2A","ADRA2A",144.354078109212,1.499709066938,0.205863312331761,7.28497491831439,3.217301532255e-13,5.29825216331754e-09,6.14084530194185,6.6085480026761,6.69795312683345,6.05086140746587,6.57684381872491,6.77076353405305,6.15587958054065,6.36554497917277,6.48388121339563,6.30222463526257,6.63199877223211,6.35200586299908,6.6764158846558,7.28430468791004,7.15190968249044,6.89009032295642,6.62783722201929,6.91369383931158,6.92687504122854,6.82252449425481,6.24783447503357,7.69707563827795,7.54626550507901,7.46351091680332,7.14648809151594,7.35094634410227,6.87588130960884,7.02369539527092,6.99904274971987,6.99769976542602,7.35629646681246,7.75520415529626,7.86794917066258,7.94540970330451,7.27422538839631,7.2126119320351,7.40440689275747,7.69703080451862,7.11730581622998,7.10318988967337,7.10302568999893,7.23581049928966,7.53458493264044,6.51345029418262
"KIAA1191","KIAA1191",775.326814610621,-0.253972325365192,0.0361142874111461,-7.03246121054038,2.02921730893715e-12,9.26437298348222e-09,9.72210397067736,9.68671522245487,9.73851860374055,9.78016506070764,9.67363579729271,9.67593322634605,9.76983765902071,9.69784641977367,9.76664526005239,9.77767149671954,9.580095271797,9.68151986852057,9.63537749907989,9.39460377573406,9.4694769495287,9.58567781717719,9.59623953629232,9.53111601825062,9.63065192157237,9.53208133475942,9.61696142259724,9.61815054691214,9.43718918825193,9.42858896167844,9.56896149326693,9.48731547814488,9.56951733613269,9.67652737876659,9.56781084278868,9.54369671740486,9.56145137503909,9.44472771988299,9.48586367752445,9.57719456135938,9.58563945279602,9.50829771840809,9.51685235190813,9.56121195213028,9.53773281106636,9.47518293987891,9.60105474683361,9.50115072608263,9.58867743963445,9.64089602844501
"FAM159A","FAM159A",39.8379619894256,1.93709133117426,0.276326315263609,7.01015872963935,2.38047903610472e-12,9.26437298348222e-09,4.60629561585954,4.83047326292824,4.75634585710973,4.5026788139868,4.96621219083759,4.60747242899839,4.49589006801761,4.61808113730618,4.5043660446223,4.61607095760389,4.94813106473198,4.52822257875696,4.62389579517366,5.44057349860218,5.22693238275823,4.66754385060017,4.7599352929949,4.90865862776233,5.11852143126056,4.90850399616234,4.65751203670619,5.78820715685059,5.65266840203279,5.84217178261042,5.53508374919742,5.11039202700637,4.71641225156578,5.33992874258997,5.49585353798497,5.3975138125299,5.27839477583561,5.71288675942077,5.84910548274288,5.37727575260112,5.54826074493573,5.71957819178849,5.54517663554853,5.16033746624135,5.38174297570841,5.21926742900275,4.66845385908283,5.40165128509484,5.03999875339524,4.91214316633849
"FCMR","FCMR",199.831594826829,1.87746343287865,0.267913932298274,7.00771108382835,2.42248384806302e-12,9.26437298348222e-09,6.28215546328542,6.62451074654232,6.98372676172912,6.36547114638192,7.09544837116376,6.80902668511203,6.25460155319572,6.43488416729591,6.40807194888607,6.35368947219393,7.41577236718546,6.34460433759128,6.68873133658696,7.67213495958502,7.37547980512939,6.83497985582343,6.56477160246252,7.0209708942413,7.66592928467686,7.3698500780085,6.57349982031244,8.26764253823695,8.05757069644831,8.05138472868374,7.90037174119898,7.83797394690169,6.56972323063918,8.02906637482509,7.78168632111724,7.90529692831832,7.21655302948403,8.10387727114346,8.23808083101131,8.26296232558281,8.17544947326517,8.06933069156923,8.18072831787277,8.09618490781969,7.47336328434751,7.35476786649214,6.96941782039307,7.78981415821638,7.30914364341465,7.01960357608522
"RP11-345J4.6","RP11-345J4.6",70.726026922091,1.31945273352239,0.188850137980373,6.98677135019895,2.81284095927928e-12,9.26437298348222e-09,5.69279037743395,5.73856064076038,5.8065317995285,5.52062250837498,5.86465715545072,5.62157562069438,5.62070728898032,5.59148597142204,5.41505463975282,5.58835605764546,5.60276441229142,5.42514852927906,5.55072860134288,6.44247248083821,6.17047626018935,5.93715062814786,5.42834283390831,5.7342851670899,6.09104994186749,6.04127063950773,5.63509167579159,6.30542499729945,6.2769716362453,6.17823360351164,6.12894174850023,6.28965986003884,5.81651873299558,6.30475273784231,6.46929013112788,5.8931526772541,5.87801059031372,6.40177045318205,6.68855314340478,6.63716074667988,6.44190503937283,6.30388662385914,6.37872623368293,6.55091214726688,6.50699809597706,6.10581753157893,5.93875279772607,6.45127311525361,6.11495944358655,5.69612051965979
"MAP4K1","MAP4K1",216.973651066248,1.26898585966819,0.183342307239689,6.92140225992248,4.47194635422882e-12,1.104083215053e-08,7.05132345353419,7.25901293321202,7.27975434270094,6.85213153270308,7.33594818179422,7.34138907514174,6.94619726296006,7.09780701279897,6.88281368083962,7.0349848384334,7.19289251930695,7.05349680641527,7.32824379860267,8.22432525977102,7.90221708177433,7.219964993649,6.97471522466905,7.13826948559851,7.83575489972088,7.93170386278894,7.18675994271883,8.27986331792604,8.1119775822751,7.8841941967138,7.79377205198284,8.06362969875472,7.09981963703709,8.06412198871551,7.94971149634458,7.86042500356931,7.64873878505734,8.1729519089418,8.31985581538636,8.20297813226118,8.22364636967144,8.12970208854678,7.97123049845831,7.94086071374578,8.06241751530145,7.63277925835698,7.19638286028866,7.70783137487792,7.6054151596932,7.39512556985881
"ACAP1","ACAP1",378.745082491436,1.3759404200814,0.198991678630096,6.91456260660588,4.69309114972735e-12,1.104083215053e-08,7.60980507878734,7.87489112982977,8.04424048500669,7.38243931254281,8.07327000334184,8.05922781341145,7.6744374228197,7.87791498622831,7.75691251650739,7.72988238765334,8.09867929214376,7.69810410579449,7.89124960571269,9.0042564082365,8.57248863976365,8.20590816974206,7.57979245201713,7.90725218494223,8.59069000925778,8.659947074696,7.8339308933472,9.14492409149601,8.97778403803868,8.78044068853886,8.63055053050593,8.83301244098015,7.76321166367921,8.78227702356132,8.85242832529964,8.62847976345914,8.31724581768275,9.28930819711404,9.07464714705675,9.24599626366161,8.97336709555044,9.0088724479076,8.81301594092444,8.70675355129733,8.8075224342192,8.44358684255847,7.94162264287874,8.48269123288209,8.29191264954777,8.16662819933345
"CCL19","CCL19",432.085785060772,2.95632283389647,0.432042641077565,6.84266447988341,7.77335715100099e-12,1.57624988339233e-08,6.6924735855075,6.45857696946444,7.12996338123758,6.37712933447729,7.04378961466116,7.58851678243997,6.14663594734306,6.82527017558099,6.80229830407908,7.00361259330803,8.01895657940347,6.19149646746854,6.48503773897878,9.36649600114903,7.96105264655704,7.52762453004822,6.32356555876843,7.57532543078857,8.3337055369535,8.16216889024718,6.68116116767414,9.63484006616264,9.41534901915619,8.45128822429907,8.26624729403432,8.52272213686635,7.03732611103897,9.06260319771131,8.47980304912311,8.42528539060254,7.29892555629646,10.1541961915024,9.99363890211109,8.75908243636321,8.99272097282544,9.02230197223622,9.29683762162806,9.70747385067006,8.4601098024222,7.60931991603369,6.66334313649424,8.42759087949162,7.48612368506454,7.05642705421865
"SEPT1","SEPT1",152.494012680172,1.49085921622798,0.218346946220375,6.82793710667823,8.61443341664501e-12,1.57624988339233e-08,6.11472133235679,6.51341341607712,6.7030011389842,6.20106340488658,6.95076950621436,6.65491931505745,6.32881138960713,6.58535226059055,6.54454066021779,6.48085406815445,6.63517770716565,6.44937171567804,6.60652779797583,7.6626275007992,7.10312281322043,6.84843320142623,6.25174409157637,6.41201159201168,7.34764876958096,7.26247094694489,6.49342954788754,7.80867703584369,7.59672786653669,7.47193764777453,7.47910252847823,7.67043756762716,6.5995164246523,7.62833130958029,7.57770575435404,7.28926736233051,6.9935137114105,7.75912715995747,7.76702766377871,7.7517227578407,7.62754265757109,7.660769621542,7.55695751033827,7.44481288003993,7.30659567999405,6.94466168353381,6.88644492407489,6.94024212100067,7.09745346928043,6.78197970525799
"CARMIL2","CARMIL2",111.459131737405,1.56721272250992,0.230068630293507,6.81193572765904,9.6294130138607e-12,1.58577173512258e-08,5.5332501912559,6.12342933654366,6.39147940401359,5.89748875546294,6.34268803865785,6.21224184855048,5.82015751791094,6.10047671282927,5.94669052074073,6.00283508076904,6.33335845262238,5.89037826506558,6.26608845987363,6.97423307832758,7.01478450752283,6.17052479306334,6.05235507390446,6.21401503710483,6.97191766084934,6.9386572090791,5.76861348042953,7.36130958437136,7.21070716420649,6.98677780600322,7.11088409979831,7.05316399479415,6.2719829576694,7.20957999366741,7.01129277021879,6.99518706267344,6.74599551781423,7.20541063747982,7.28765636102666,6.97971796824958,7.25385446710601,7.20025237037911,7.06105350217652,6.76926677184079,6.7361694935242,6.56044328579833,6.09797955001478,6.78552868164226,6.52915775597304,6.35674601885561
